Particle Z-Coordinate,Particle Mass,Particle X-Coordinate,Particle ID,Particle Y-Coordinate
time (s) = 0.0
time (s) = 0.1
 6.75035e-04, 5.22656e-07,-4.34231e-03, 1.40000e+01, 1.28569e-02
-5.05593e-03, 5.22656e-07, 9.67661e-03, 1.50000e+01, 1.25078e-02
-9.62311e-03, 5.22656e-07, 6.35379e-03, 1.60000e+01, 1.26683e-02
 3.90156e-03, 5.22656e-07,-2.60431e-03, 1.70000e+01, 1.25191e-02
-3.06953e-03, 5.22656e-07,-1.14687e-02, 1.80000e+01, 1.24994e-02
 9.19437e-03, 5.22656e-07,-6.99320e-03, 1.90000e+01, 1.16386e-02
-9.10783e-03, 5.22656e-07,-4.48724e-03, 2.00000e+01, 1.17731e-02
 4.80165e-04, 5.22656e-07, 5.02358e-03, 2.10000e+01, 1.20192e-02
-1.11392e-02, 5.22656e-07, 1.07826e-02, 2.20000e+01, 1.30288e-02
-1.85526e-02, 5.22656e-07,-8.36651e-05, 2.30000e+01, 5.01612e-03
-6.55587e-04, 5.22656e-07, 6.33430e-04, 2.40000e+01, 1.15330e-02
-1.76062e-02, 5.22656e-07, 5.54848e-03, 2.60000e+01, 5.02341e-03
-5.01755e-03, 5.22656e-07,-1.09295e-02, 2.70000e+01, 1.13460e-02
 4.26346e-03, 5.22656e-07, 1.61928e-02, 2.80000e+01, 1.06795e-02
-1.35234e-02, 5.22656e-07, 1.75034e-03, 2.90000e+01, 1.26622e-02
-1.02904e-02, 5.22656e-07,-4.63501e-03, 3.00000e+01, 1.03812e-02
 9.78364e-03, 5.22656e-07,-9.79174e-03, 3.10000e+01, 9.39417e-03
 1.17124e-02, 5.22656e-07,-1.99334e-03, 3.20000e+01, 8.88596e-03
-1.07515e-02, 5.22656e-07, 8.29774e-03, 3.30000e+01, 1.19669e-02
-4.96867e-04, 5.22656e-07, 1.86270e-03, 3.40000e+01, 1.02914e-02
-4.76407e-03, 5.22656e-07, 1.74145e-02, 3.50000e+01, 9.46731e-03
 3.03910e-03, 5.22656e-07,-3.36760e-03, 3.60000e+01, 9.99492e-03
-9.03388e-03, 5.22656e-07, 8.72732e-03, 3.70000e+01, 9.76712e-03
-7.96104e-03, 5.22656e-07, 8.45780e-04, 3.80000e+01, 9.59280e-03
-1.31466e-02, 5.22656e-07, 1.30915e-02, 3.90000e+01, 4.98641e-03
-1.60820e-02, 5.22656e-07, 9.25400e-03, 4.00000e+01, 4.97920e-03
